,English,Bemba,Bemba2
397,Bullet,Cipolopolo,
398,Bunch,Cisangu,
399,Bundle,Umwanshi,
400,Burden,Icipe,
401,Burglar,Umupupu,
402,Burial place,Inshishi,
403,Burial place (Royal),Umwalule,
404,Burn,Oca / Pya / Lungula,
405,Burrow (big),Mwimba,
406,Burrow (small),Umusombo,
407,Burst,Lepuka,
408,Bury,Shika,
409,Bush,Impanga,
410,Bush buck,Cisongo,
411,Business,Umulimo,
412,Busy,Ba ne milimo,
413,But,Nomba,
414,Butcher,Kakoma wa Ngombe,
415,Butter,Amafuta ye shiba,
416,Butterfly,Icipelebesha,
417,Buttock,Itako,
418,Button,Ipitawa,
419,Buy,Shita,
420,By,Ku / Kuli,
421,Bye (Go well),Fikenipo,
422,Bye (remain well),Shalenipo,
423,C,,
424,Cabbage,"""Kabeji""",
425,Calabash,Insupa,
426,Calamity,Ubulanda,
427,Calculate,Penda,
428,Calf,Iciponti ca nĝombe,
429,Call,Ubwite,Ita
430,Call out,Kuta,
431,Call out (shout),Pûnda,
432,Calm,Tondolo,Talala
433,Calm down,Bwesho mutima,
434,Calmly,Tondolo,Shilili
435,Camel,Ingamiya,
436,Camera,"""Kamela""",
437,Camp,Insakwe,
438,Can (do),Kuti,
439,Can (of food),Icikopo,
440,Canal,Umufōlo,Umunyangala
441,Cancel,Pangulula,
442,Cannot,Tekuti,Filwa
443,Canoe,Ubwato,
444,Cap,Akasote,
445,Capital (city),Umusumba,
446,Capitulate,Cīmba,
447,Capsize,Bunda,
448,Capsize (cause to),Bunsha,
449,Captain,Intungulushi,
450,Captive,Nkole,
451,Carcass,Icitumbi,
452,Card,Kalata,
453,Card (playing),Injuka,
454,Care (for),Sunga,
455,Care (about),Sakamana,
456,Careful,Take care,
457,Carefully,Bwino bwino,Bucebuce
458,Careless,Ba no busanku,
459,Carelessness,Ubusanku,Ubupusaushi
460,Carpenter,Kabasa,
461,Carrier,Kasenda,
462,Carry,Senda,
463,Carry (heavy),Pinga,
464,Carry (on back),Pāpa,
465,Carry (on shoulder),Sūnsa,
466,Cart,Iceleta,
467,Cartridge,Cisongo,
468,Carve,Bāsa,
469,Case (box),Imbokoshi,
470,Case (law),Umulandu,
471,Cash,Indalama,
472,Cassava (Manioc),Kalundwe,
473,Castor plant,Mumono,
474,Castrate,Tungula,
475,Cat,Côna,Pushi
476,Cat (wild),Mpaka,
477,Cat (civet),Mfungo,
478,Catch,Ikata,Anka
479,Catechist,Kafundisha,
480,Caterpillar,Ichishimu,
481,Catfish,Muta,
482,Catholic,"""Katolika""",
483,Catholic Church,"""Ekelesha katolika""",
484,Cattle,Inɧombe,
485,Cattle shed,Itanga,Icinka
486,Cause,Lenga,
487,Cause (reason),Mulandu,
488,Cause (beginning),Icishinte,
489,Cautious,Cenjela,Tekanya
490,Cave,Lucengo,
491,Cease,Leka,
492,Celebrate,Cindika,
493,Celibacy,Ubushimbe,
494,Celibate,Umushimbe,
495,Cement,Shamende,"""Sementi"""
496,Cemetery,Inshishi,
