,English,Bemba,Bemba2
1849,Knuckle,Lupingu,
1850,Kraal,Icinka,Itanga
1851,Kudu (antelope),Nsansala,
1852,L - Z Coming soon,,
1853,Labour,Bomba na maka,
1854,Lack,Bula,
1855,Lad,Kalume,
1856,Ladder,Mutanto,
1857,Lady,Lôna,
1858,Lair,Mutundu,
1859,Lake,Bemba,
1860,Lamb,Mwana wa mpanga,
1861,Lame,Lemana,Cilema
1862,Lament,Lilila,
1863,Lance,Ifumo,
1864,Land,Calo,
1865,Language,Lulimi,
1866,Lard,Mafuta,
1867,Large,Kulu,
1868,Larva,Bube,
1869,Larynx,Cikolomino,
1870,Lash,Bwembya,
1871,Last,Kokola,
1872,Late,Celwa,
1873,Latrine,Cimbusu,
1874,Laugh,Seka,
1875,Laughter,Nseko,
1876,Lavatory,Cimbusu,
1877,Law,Cêbo,
1878,Lawsuit,Mulandu,
1879,Lay,Bika,
1880,Lazy,Naɧani,
1881,Laziness,Bunaɧani,
1882,Lead (metal),Mutofwe,
1883,Leader,Ntungulushi,
1884,Leadership,Butungulushi,
1885,Leaf,Ibûla,
1886,Leak,Sûma,
1887,Lean,Onda,
1888,Learn,Sambilila,
1889,Leather,Mpapa,
1890,Leave,Sha,Ya
1891,Lechwe (antelope),Nja,
1892,Left (hand),Ku Kuso,
1893,Leg,Mukonso,
1894,Legend,Mulumbe,
1895,Lemon,Ndimu,
1896,Lend,Ashima,
1897,Length,Butali,
1898,Lengthen,Lefya,
1899,Lent,Nshita ya kweleshima,
1900,Lentil,Ilanda,
1901,Leopard,Mbwili,
1902,Leper,Wa fibashi,
1903,Leprosy,Fibashi,
1904,Less,Cepa,
1905,Lessen,Cefya,
1906,Lesson,Ifunde,
1907,Lest,Atemwa,
1908,Let,Leka,
1909,Letter,Kalata,
1910,Letter (0f alphabet),Cilembo,
1911,Level,Linganya,
1912,Liar,Wa bufi,
1913,Liberate,Lubula,
1914,Lick,Myanga,
1915,Lid,Nkupiko,
1916,Lie,Bufi,
1917,Lie across,Pindama,
1918,Life,Bumi,
1919,Lift,Imya,
1920,Lighten,Angusha,
1921,Lightning,Mwele wa mfula,Kalumba
1922,Like,Pala,
1923,Likeness,Cipasho,
1924,Limit,Mpela,
1925,Limp,Sunta,
1926,Line (Queue),Mulongo,
1927,Line (drawn),Cishilwa,
1928,Linger,Kokola,
1929,Lion,Nkalamo,
1930,Lip,Mulomo,
1931,Liquid,Amenshi,
1932,Lisp,Bulubusa,
1933,Listen,Umfwa,
1934,Litany,Malumbo,
1935,Little,Nôno,
1936,Lively,Luma,
1937,Liver,Libu,
1938,Lizard,Mulinso,
1939,Load,Cipe,
1940,Loaf (of bread),Mukate,
1941,Loafer,Ntalanshi,
1942,Loam,Mushili we lambo,
1943,Loan,Bukope,
1944,Locust,Makanta,
1945,Log (tree),Mulando,
1946,Loin,Musana,
1947,Long,Tali,
1948,Long ago,Kale,
1949,Long for,Kasha,
1950,Longing,Bukasha,
1951,Look,Lolesha,
1952,Looking glass (mirror),Cilola,Mulolani
1953,Loose,Kakuka,
1954,Loosen,Kakula,
1955,Lop,Tema,
1956,Lose,Lufya,
1957,Lost,Luba,
1958,Loud,Kafya,
1959,Louse,Nda,
1960,Love,Citemwiko,
1961,Low,Ipipa,
1962,Lower,Isha,
1963,Loyal,Cishinka,
1964,Lucifer,Shetani mukalamba,
1965,Luck,Ishuko,
1966,Lucky,Shûka,
1967,Luggage,Cipe,
1968,Lukewarm,Cifulefule,
1969,Lump,Lutoshi,
1970,Lungs,Pwapwa,
1971,Lunatic,Ishilu,
1972,Lust,Lunkumbwa,
1973,M - Z Coming soon,,
1974,Mad,Pena,Ishilu
1975,Madam,Mama,Lôna
1976,Madness,Bushilu,Bucipena
1977,Maggot,Mutiti,
1978,Maid,Mukashana,
1979,Maidenhood,Bukashana,
1980,Mail,Kalata,
1981,Maim,Lemanika,
1982,Maimed,Lemana,
1983,Maize,Nyanje,
1984,Make,Cita,Panga
1985,Malaria,Bulwele bwa mpepo,
1986,Male,Cilume,
1987,Malice,Mufulo,Mumbo
1988,Maliciously,Ku mufulo,Ku mumbo
1989,Man,Mwaume,
1990,Manager,Mushika,
1991,Mane,Mwansa,
1992,Mango,iyembe,
1993,Manhood,Bwaume,
1994,Manifest,Moneka,Londolola
1995,Mankind,Bwina bantu,
1996,Mantle,Isâba,
1997,Manure,Fundika,
1998,Many,ingi,fula
1999,Marabou stork,Mukanga,Cipampa
2000,March,Kautumpu,
2001,March (walk),Enda,
2002,Market,Cisankano,
2003,Marriage,Cupo,Bwinga
2004,Marrow,Bufyompo,
2005,Marrow (gourd),Mungu,
2006,Marry,Upa,
2007,Marry (get married),Upwa,
2008,Marsh,Tefwetefwe,
2009,Martyr,Fwila Lesa,
2010,Marvel,Cisungusho,
2011,Marvellous,Ca kusunguka,
2012,Mass,Minsa,
2013,Massage,Cina,
2014,Master (boss),Bwana,
2015,Masticate,Sheta,
2016,Mat,Butanda,Cisani
2017,Match (football),Mupila,
2018,Match (safety matches),Cibiliti,
2019,Matchbox,Cifwambo,
2020,Mate,Mune,
2021,Matter (thing),Cintu,
2022,Mature,Kula,
2023,May,Kapepo kanono,
2024,May,Kuti,
2025,Me,Ine,
2026,Meal,Cakulya,
2027,Mean (stingy),Wa kaso,
2028,Mean (the meaning),Kutila,
2029,Meanness,Butani,Kaso
2030,Meanwhile,Mu nshita,
2031,Measure,Pima,Cipimo
2032,Meat,Nama,Munofu
2033,Medal,Nsalamu,
2034,Mediator,Ndubulwila,
2035,Medicine,Muti,
